      0x00,0x00 -   NULL        TPM_ECC_NONE
      0x00,0x01 -   sect163k1   sect163k1
      0x00,0x02 -   sect163r1   sect163r1
      0x00,0x03 -   sect163r2   sect163r2
      0x00,0x04 -   sect193r1   sect193r1
      0x00,0x05 -   sect193r2   sect193r2
      0x00,0x06 -   sect233k1   sect233k1
      0x00,0x07 -   sect233r1   sect233r1
      0x00,0x08 -   sect239k1   sect239k1
      0x00,0x09 -   sect283k1   sect283k1
      0x00,0x0a -   sect283r1   sect283r1
      0x00,0x0b -   sect409k1   sect409k1
      0x00,0x0c -   sect409r1   sect409r1
      0x00,0x0d -   sect571k1   sect571k1
      0x00,0x0e -   sect571r1   sect571r1
      0x00,0x0f -   secp160k1   secp160k1
      0x00,0x10 -   secp160r1   secp160r1
      0x00,0x11 -   secp160r2   secp160r2
      0x00,0x12 -   secp192k1   secp192k1
      0x00,0x13 -   secp192r1   secp192r1
      0x00,0x14 -   secp224k1   secp224k1
      0x00,0x15 -   secp224r1   secp224r1
      0x00,0x16 -   secp256k1   secp256k1
      0x00,0x17 -   secp256r1   secp256r1
      0x00,0x18 -   secp384r1   secp384r1
      0x00,0x19 -   secp521r1   secp521r1
      0x00,0x1a -   brainpoolP256r1  brainpoolP256r1
      0x00,0x1b -   brainpoolP384r1  brainpoolP384r1
      0x00,0x1c -   brainpoolP512r1  brainpoolP512r1
      0x00,0x1d -   x25519       x25519
      0x00,0x1e -   x448     x448
      0x00,0x1f -   brainpoolP256r1tls13 brainpoolP256r1tls13
      0x00,0x20 -   brainpoolP384r1tls13 brainpoolP384r1tls13
      0x00,0x21 -   brainpoolP512r1tls13 brainpoolP512r1tls13
      0x00,0x22 -   GC256A      GC256A
      0x00,0x23 -   GC256B      GC256B
      0x00,0x24 -   GC256C      GC256C
      0x00,0x25 -   GC256D      GC256D
      0x00,0x26 -   GC512A      GC512A
      0x00,0x27 -   GC512B      GC512B
      0x00,0x28 -   GC512C      GC512C
      0x00,0x29 -   curveSM2    curveSM2
      0x01,0x00 -   ffdhe2048   ffdhe2048
      0x01,0x01 -   ffdhe3072   ffdhe3072
      0x01,0x02 -   ffdhe4096   ffdhe4096
      0x01,0x03 -   ffdhe6144   ffdhe6144
      0x01,0x04 -   ffdhe8192   ffdhe8192
