x010080  SSL_CK_RC4_128_WITH_MD5              
x020080  SSL_CK_RC4_128_EXPORT40_WITH_MD5     
x030080  SSL_CK_RC2_128_CBC_WITH_MD5	      
x040080  SSL_CK_RC2_128_CBC_EXPORT40_WITH_MD5
x050080  SSL_CK_IDEA_128_CBC_WITH_MD5       
x060040  SSL_CK_DES_64_CBC_WITH_MD5           
x0700C0  SSL_CK_DES_192_EDE3_CBC_WITH_MD5  
x080080  SSL_CK_RC4_64_WITH_MD5               
x00  TLS_NULL_WITH_NULL_NULL                 
x01  TLS_RSA_WITH_NULL_MD5                   
x02  TLS_RSA_WITH_NULL_SHA                   
x03  TLS_RSA_EXPORT_WITH_RC4_40_MD5          
x04  TLS_RSA_WITH_RC4_128_MD5                
x05  TLS_RSA_WITH_RC4_128_SHA                
x06  TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5      
x07  TLS_RSA_WITH_IDEA_CBC_SHA               
x08  TLS_RSA_EXPORT_WITH_DES40_CBC_SHA       
x09  TLS_RSA_WITH_DES_CBC_SHA                
x0A  TLS_RSA_WITH_3DES_EDE_CBC_SHA           
x0B  TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA    
x0C  TLS_DH_DSS_WITH_DES_CBC_SHA             
x0D  TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA        
x0E  TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA    
x0F  TLS_DH_RSA_WITH_DES_CBC_SHA             
x10  TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA        
x11  TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA   
x12  TLS_DHE_DSS_WITH_DES_CBC_SHA            
x13  TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA       
x14  TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA   
x15  TLS_DHE_RSA_WITH_DES_CBC_SHA            
x16  TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA       
x17  TLS_DH_anon_EXPORT_WITH_RC4_40_MD5      
x18  TLS_DH_anon_WITH_RC4_128_MD5            
x19  TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA   
x1A  TLS_DH_anon_WITH_DES_CBC_SHA            
x1B  TLS_DH_anon_WITH_3DES_EDE_CBC_SHA       
x1E  TLS_KRB5_WITH_DES_CBC_SHA               
x1F  TLS_KRB5_WITH_3DES_EDE_CBC_SHA          
x20  TLS_KRB5_WITH_RC4_128_SHA               
x21  TLS_KRB5_WITH_IDEA_CBC_SHA              
x22  TLS_KRB5_WITH_DES_CBC_MD5               
x23  TLS_KRB5_WITH_3DES_EDE_CBC_MD5          
x24  TLS_KRB5_WITH_RC4_128_MD5               
x25  TLS_KRB5_WITH_IDEA_CBC_MD5              
x26  TLS_KRB5_EXPORT_WITH_DES_CBC_40_SHA     
x27  TLS_KRB5_EXPORT_WITH_RC2_CBC_40_SHA     
x28  TLS_KRB5_EXPORT_WITH_RC4_40_SHA         
x29  TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5     
x2A  TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5     
x2B  TLS_KRB5_EXPORT_WITH_RC4_40_MD5         
x2C  TLS_PSK_WITH_NULL_SHA                   
x2D  TLS_DHE_PSK_WITH_NULL_SHA               
x2E  TLS_RSA_PSK_WITH_NULL_SHA               
x2F  TLS_RSA_WITH_AES_128_CBC_SHA            
x30  TLS_DH_DSS_WITH_AES_128_CBC_SHA         
